TOT_POP,MEDHHINC_2018,Total Hospitals (2019),Obesity_prevalence,diabetes_prevalence,Child_Poverty_Index
64569.0,44040.0,1.096813003,36.5,14.5,21.9
13665.0,49507.0,0.200560314,35.8,12.3,18.85
21623.0,42307.0,0.220297639,37.6,15.0,29.9
58504.0,55202.0,0.970942497,38.2,12.4,13.899999999999999
153337.625,50531.0,2.132252143,29.0,8.4,21.05
3478.0,39506.0,0.063375508,39.1,18.8,36.650000000000006
153337.625,62343.0,2.9057676592500004,35.6,9.9,11.85
3825.0,66849.0,0.069698481,36.3,12.9,12.7
19454.0,41455.0,0.6448775,36.2,14.5,20.75
150439.0,62522.0,2.167206904,35.7,11.0,13.0
117898.0,53745.0,1.001476752,37.3,10.8,22.05
153337.625,81540.125,2.9057676592500004,21.5,9.5,6.7
2151.0,51188.0,0.061253963,33.8,14.8,26.75
153337.625,81540.125,2.9057676592500004,24.8,8.1,24.65
24193.0,48831.0,0.333475292,35.6,15.0,30.35
4954.0,55242.0,0.077412176,24.3,11.7,24.5
27004.0,32906.0,0.634548995,40.5,16.6,33.0
8683.0,31419.0,0.119686106,39.9,17.4,39.8
2474.0,58943.0,0.070452024,28.3,10.9,15.299999999999999
7634.0,56837.0,0.195831965,31.4,13.1,18.0
49437.0,47202.0,0.967304532,33.3,11.4,25.1
23365.0,56456.0,0.336593498,35.9,12.8,17.95
57840.0,50412.0,1.195170658,34.0,13.5,16.75
1522.0,56775.0,0.027733618,35.1,13.7,9.75
6050.0,44564.0,0.120477562,34.5,13.2,20.2
43602.0,55334.0,0.723626329,37.8,13.3,17.9
153337.625,57069.0,2.9057676592500004,27.2,10.8,11.399999999999999
29636.0,41517.0,0.334017518,36.6,13.8,21.65
10715.0,42423.0,0.221408257,41.0,18.6,30.3
60949.0,44710.0,0.686935946,36.8,14.7,21.700000000000003
55387.0,45268.0,1.836014706,36.4,13.5,25.549999999999997
39944.0,38704.0,1.23868887,41.8,16.5,24.6
26907.0,48688.0,0.601466712,31.9,11.1,16.65
153337.625,81540.125,2.9057676592500004,38.9,14.4,11.4
55976.0,40433.0,0.603769398,39.9,17.3,37.45
153337.625,60826.0,2.443186747,30.2,12.7,18.65
32358.0,43159.0,0.549655023,36.4,16.0,28.7
51128.0,58648.0,1.169681683,34.5,10.4,13.25
3401.0,49321.0,0.163944563,36.4,12.5,14.95
153337.625,70649.0,2.9057676592500004,28.5,13.8,17.95
23792.0,46912.0,0.433533663,36.1,17.2,34.1
70795.0,59114.0,0.601363438,32.1,10.4,13.75
25349.0,55776.0,0.461905045,35.4,15.0,19.75
28754.0,46345.0,0.324076788,32.5,12.9,21.9
92176.0,51030.0,1.529768829,35.3,13.0,15.8
8665.0,45697.0,0.41368124,39.2,13.8,21.2
153337.625,55860.0,2.9057676592500004,32.4,12.9,22.15
89147.0,81540.125,2.039461996,27.3,8.4,3.75
46430.0,46262.0,0.39439656,34.5,11.7,21.8
43058.0,49161.0,0.714598011,38.6,14.6,21.049999999999997
79115.0,64714.0,2.9057676592500004,30.7,9.8,12.45
16736.0,61044.0,0.882247565,24.6,10.2,12.45
1515.0,42701.0,0.027606065,35.0,15.0,23.4
9267.0,45670.0,0.168861653,35.7,14.3,20.9
6254.0,61387.0,0.141549218,35.9,10.6,13.399999999999999
7890.0,41101.0,0.294986447,32.4,11.2,25.35
29144.0,58448.0,0.328472349,31.2,8.8,21.1
153337.625,58890.0,2.9057676592500004,33.1,12.6,17.05
21539.0,54339.0,0.367942855,32.2,11.0,14.649999999999999
34342.0,56211.0,0.87240325,27.2,11.7,15.600000000000001
9395.0,37013.0,0.18708871,37.4,15.1,29.65
23906.0,40761.0,0.350866803,35.8,13.1,30.2
6121.0,72949.0,0.095647946,23.6,8.0,8.65
19150.0,53871.0,0.381346332,34.4,11.7,14.100000000000001
153337.625,56169.0,2.493630022,36.3,12.8,28.05
12820.0,44735.0,0.233603798,37.6,15.6,22.85
18804.0,55079.0,0.17065572,25.8,11.9,19.3
88028.0,65209.0,1.268121228,36.7,11.1,13.3
153337.625,53795.0,2.9057676592500004,32.9,11.9,26.25
12097.0,68381.0,0.637700096,29.0,10.5,9.7
35392.0,55226.0,1.706064684,32.9,10.2,12.1
153337.625,52318.0,2.9057676592500004,33.5,12.0,29.75
70116.0,66151.0,1.383066458,38.2,13.0,14.6
153337.625,49640.0,2.9057676592500004,36.6,15.9,31.6
17888.0,59043.0,0.35621531,33.5,12.3,13.350000000000001
21763.0,44693.0,0.234740485,32.2,12.4,22.7
2660.0,43274.0,0.126992741,37.5,13.8,20.1
64525.0,30490.0,1.175763265,42.6,19.4,43.074999999999996
13257.0,35751.0,0.311517406,42.5,17.6,31.3
277.0,57925.0,0.005047446,33.0,12.0,14.85
28281.0,54331.0,0.469356364,38.0,12.6,11.3
43734.0,43651.0,0.742895505,39.0,14.5,23.65
4599.0,39463.0,0.091582861,37.2,13.2,27.700000000000003
70975.0,43535.0,0.587277116,35.7,12.8,19.85
9699.0,54865.0,0.362620222,34.7,11.5,14.55
18717.0,50605.0,0.893580124,40.3,12.5,15.0
18883.0,49712.0,1.220004874,31.6,11.3,18.15
73703.0,47057.0,2.9057676592500004,27.9,7.1,12.75
8732.0,42689.0,0.088962631,36.7,13.8,24.200000000000003
153337.625,68126.0,2.9057676592500004,36.5,11.7,12.149999999999999
