MEDHHINC_2018,Obesity_prevalence,diabetes_prevalence,Percent_Pop_Aged_60_plus,Percent_Higher_Education,Child_Poverty_Index
47858.0,35.3,13.6,24.71683866096149,27.143935852720148,18.9
56451.0,38.0,12.4,27.99034815580834,40.761806273698724,12.7
59938.0,37.8,11.3,33.47027549540841,38.61768970517158,11.15
36760.0,42.0,19.3,28.089532170680588,28.542334005615533,32.45
53917.0,34.6,12.4,21.54006914701481,34.725734042004234,20.65
67269.0,33.2,9.7,24.34547624061206,38.839755738050115,8.05
70807.0,35.7,11.2,20.582161471137773,42.03338578031271,11.899999999999999
73703.0,31.9,12.8,31.75050246790358,46.65773390393634,13.649999999999999
32228.0,44.3,18.8,25.97514213936269,28.798095993653313,38.55
48998.0,38.3,15.4,26.167279411764703,22.095588235294116,20.799999999999997
62792.0,33.5,10.7,27.77777777777778,41.40550807217474,10.75
46843.0,37.6,13.8,22.234311523017073,33.82934255947023,21.9
76224.0,36.1,8.9,14.12118544600939,35.115903755868544,9.9
60572.0,32.9,11.7,27.43338267949667,34.97409326424871,14.649999999999999
42897.0,28.6,10.4,18.785590121680755,33.812863393874004,24.05
53906.0,31.8,13.4,27.175864537251083,41.65502998157688,25.75
56478.0,37.3,11.3,23.430830302124335,43.435702382336494,22.200000000000003
37429.0,43.2,16.9,23.481451284141865,23.347504513423793,26.6
44389.0,34.2,13.5,22.98210325442261,26.561452369900458,25.9
45796.0,33.4,13.7,25.198341362862823,31.668704009970998,19.75
60010.0,32.4,12.7,25.32439906402893,34.127490604835856,11.55
52165.0,38.8,13.2,25.344612096292135,30.29144854819135,14.85
48029.0,37.5,15.7,26.791277258566975,30.37642782969886,24.35
44883.0,33.8,13.7,32.186259174587896,29.78582601371676,23.35
49122.0,33.0,12.6,32.93366853606653,38.75459292206536,15.5
47365.0,36.9,12.5,30.001994813484938,42.11051266706563,15.350000000000001
51805.0,35.8,12.3,27.880831928049467,41.27190965302264,19.200000000000003
33976.0,36.3,18.4,17.949923917554294,25.31193802738968,43.9
28887.0,46.1,23.1,26.981951108064884,34.110121087502854,47.85
50285.0,35.0,14.1,32.09567189857142,41.09011611979442,17.4
47288.0,31.1,13.9,39.34235976789168,39.535783365570595,16.2
56978.0,37.9,10.1,24.988112220637184,34.671557638747366,10.35
37755.0,40.0,14.5,29.10484425665717,27.85693229831974,28.4
42457.0,38.7,14.3,28.033216296048597,28.406620966393582,26.2
39633.0,41.7,16.4,24.293516979339824,35.720731417715506,31.7
35070.0,41.2,17.6,26.470436620444353,29.349451002629003,33.55
56503.0,27.3,12.7,32.582439951146696,44.21224046682046,17.8
59064.0,36.5,13.2,21.43401983218917,23.874904652936692,17.4
35020.0,40.5,17.1,24.46536010007744,26.085661523798176,39.4
51393.0,29.4,9.7,17.705352913311227,35.48839412600663,16.0
32167.0,45.5,19.2,23.540579022306595,26.720455624110105,40.65
47425.0,38.2,12.1,25.89899524061343,39.06927551560021,23.95
46176.0,37.8,13.5,26.869788727979437,40.49275907466616,22.1
34648.0,38.4,16.8,27.316087761629536,27.467594411088044,29.6
55322.0,36.5,10.6,29.15220069436667,45.268227125097994,13.649999999999999
39254.0,34.8,15.5,28.235866853283024,29.142578956976816,38.25
41127.0,37.9,16.4,26.848249027237355,29.452259802454357,28.75
58398.0,31.0,11.3,30.898346030215823,42.11134277019261,11.600000000000001
39046.0,39.3,17.2,25.30052017309962,24.78253267473882,30.200000000000003
55514.0,32.6,12.9,34.52509931383171,42.692049734303254,18.45
84470.0,30.6,10.4,23.701794406624398,45.87120327627396,7.550000000000001
42532.0,37.2,16.0,27.591105824825718,27.260712987742426,24.950000000000003
52814.0,30.2,16.0,45.72011499582677,46.53621441157377,24.1
35317.0,41.3,17.0,24.46064573724148,22.013093289689035,35.2
46633.0,36.4,14.2,17.951679343551838,26.757302270839865,30.6
64456.0,36.8,10.6,26.176650366748166,42.145476772616135,11.899999999999999
51771.0,36.1,13.0,22.397174703546277,38.505831361628175,25.95
77032.0,31.7,10.5,12.197376783960246,35.28630034090253,10.75
44297.0,40.8,13.8,20.789746489492035,29.35946973266736,26.0
49399.0,37.0,14.8,27.506085417127686,32.28590396105333,21.65
59219.0,38.3,10.5,28.982102908277408,35.033557046979865,10.7
64170.0,34.4,10.3,15.399981532210901,37.16580996645018,11.55
43245.0,34.6,15.1,31.48377508050533,31.211295516472624,23.85
50956.0,35.3,12.0,26.286089957815157,29.649920561003672,19.7
47658.0,37.0,15.1,28.575009399674144,33.78869532522872,23.25
63241.0,33.3,11.9,21.77106258809565,33.37372338584041,12.65
55345.0,36.0,11.0,24.199195953832188,45.182207236415515,11.65
37392.0,38.1,15.3,25.230288836846213,27.046578194119174,34.3
42475.0,35.3,15.3,24.27711727579627,24.492391995694508,33.4
49522.0,40.3,14.6,24.864819000161987,34.06484059826752,23.0
39037.0,39.5,16.8,32.700515084621046,30.883002207505516,26.0
54332.0,37.6,14.0,28.85951919790361,35.123048877748666,18.8
41413.0,38.8,19.5,36.452004860267316,45.6865127582017,22.3
29267.0,45.8,20.6,23.071611757743142,24.926020911422373,67.4
64644.0,36.3,12.0,20.823722832141932,41.07232115434415,13.55
31182.0,42.3,17.6,24.82319660537482,27.274870344177277,43.8
45023.0,35.0,13.9,30.921588775112497,35.68011905183715,24.55
40741.0,40.5,19.1,26.81020066889632,26.433946488294314,31.549999999999997
55583.0,30.0,11.4,24.26945835229859,33.166439083598846,18.1
41864.0,32.7,13.6,33.98133461212144,38.7731011841086,24.75
53992.0,32.1,12.7,26.35649943097429,38.950292228459,17.6
60608.0,33.2,9.8,27.11206896551724,43.006465517241374,7.8
47319.0,30.4,11.6,28.039483187545137,42.10336249097183,19.25
59524.0,28.7,8.5,21.75726302396268,40.358379868523365,10.85
66901.0,33.5,12.1,22.061822475045613,30.36385102500805,14.0
36192.0,39.5,17.0,28.83658522949628,23.56180466260413,35.7
56381.0,35.2,12.6,20.627055316613678,40.611985428547506,16.3
