TOT_POP,White-alone pop,MEDHHINC_2018,Active Physicians per 100000 Population 2018 (AAMC),Total Hospitals (2019),Population Aged 60+,COUNTY_NAME,STATE_NAME,Obesity_prevalence,diabetes_prevalence,Percent_Pop_Aged_60_plus,Racial_Diversity_Index,Percent_Higher_Education,Minority_Population,Child_Poverty_Index
16683,14559,42897,285.7,0.26069183,2952,223,5,28.6,10.4,18.785590121680755,2,33.812863393874004,2124,24.05
85219,58745,53906,228.7,1.174655104,20679,383,10,31.8,13.4,27.175864537251083,2,41.65502998157688,26474,25.75
180621,133171,56478,284.4,2.650962634,40675,522,13,37.3,11.3,23.430830302124335,2,43.435702382336494,47450,22.200000000000003
17171,9082,37429,191.3,0.569198702,3982,589,24,43.2,16.9,23.481451284141865,2,23.347504513423793,8089,26.6
19389,17086,44389,228.7,0.267257159,4228,413,10,34.2,13.5,22.98210325442261,2,26.561452369900458,2303,25.9
83442,79985,45796,217.1,1.724194849,19667,21,0,33.4,13.7,25.198341362862823,1,31.668704009970998,3457,19.75
28206,27364,60010,230.8,0.556374758,6613,577,14,32.4,12.7,25.32439906402893,1,34.127490604835856,842,11.55
55207,51888,52165,292.7,0.916224915,13111,1180,35,38.8,13.2,25.344612096292135,1,30.29144854819135,3319,14.85
38520,25368,48029,229.5,0.522780017,9371,1430,40,37.5,15.7,26.791277258566975,2,30.37642782969886,13152,24.35
16622,16214,44883,320.5,0.2582777,5099,1400,38,33.8,13.7,32.186259174587896,1,29.78582601371676,408,23.35
5171,5044,49122,273.1,0.102973467,1721,625,25,33.0,12.6,32.93366853606653,1,38.75459292206536,127,15.5
5013,4809,47365,227.6,0.239328801,1392,674,16,36.9,12.5,30.001994813484938,1,42.11051266706563,204,15.350000000000001
39138,35082,51805,218.2,1.463267372,10621,591,15,35.8,12.3,27.880831928049467,2,41.27190965302264,4056,19.200000000000003
72290,11996,33976,244.8,1.414455663,11923,1147,31,36.3,18.4,17.949923917554294,2,25.31193802738968,60294,43.9
4377,1205,28887,191.3,0.145092465,994,978,24,46.1,23.1,26.981951108064884,2,34.110121087502854,3172,47.85
547538,459380,50285,265.2,5.578380817,160876,335,9,35.0,14.1,32.09567189857142,2,41.09011611979442,88158,17.4
2585,2490,47288,237.6,0.132637877,1056,404,34,31.1,13.9,39.34235976789168,1,39.535783365570595,95,16.2
29442,28305,56978,264.9,0.673559852,6978,1824,49,37.9,10.1,24.988112220637184,1,34.671557638747366,1137,10.35
10177,9749,37755,273.1,0.202661181,2880,857,25,40.0,14.5,29.10484425665717,1,27.85693229831974,428,28.4
35886,33703,42457,273.1,0.714621122,9615,838,25,38.7,14.3,28.033216296048597,1,28.406620966393582,2183,26.2
21055,11667,39633,191.3,0.69794879,4746,962,24,41.7,16.4,24.293516979339824,2,35.720731417715506,9388,31.7
38798,24514,35070,260.3,1.31547488,10020,440,18,41.2,17.6,26.470436620444353,2,29.349451002629003,14284,33.55
22107,20495,56503,278.8,0.269898406,6449,1766,47,27.3,12.7,32.582439951146696,1,44.21224046682046,1612,17.8
1311,1226,59064,224.8,0.023888813,217,1630,43,36.5,13.2,21.43401983218917,1,23.874904652936692,85,17.4
16787,10240,35020,228.7,0.2313913,3982,344,10,40.5,17.1,24.46536010007744,2,26.085661523798176,6547,39.4
52775,49282,51393,216.2,0.901536014,7853,857,44,29.4,9.7,17.705352913311227,1,35.48839412600663,3493,16.0
10535,2795,32167,191.3,0.349223011,2193,971,24,45.5,19.2,23.540579022306595,2,26.720455624110105,7740,40.65
